Subject,Message,Label,OriginalRowID,Date
Stranded on hard shoulder – breakdown cover,"Good afternoon,
Battery seems dead (no dash lights). I’m at 84 River Road, Galway. Can someone jump‑start or tow me? Reg 12-MH-43297, policy PCY-870-259786. Also, is there a call‑out limit? please sort this
—

Sincerely,
Michael O'Brien
+353 80 994 3328
michaelobrien238@yahoo.com",CarBreakdown,e83cdd99,
Random question (not sure of category),"Hello,
I just need to check what’s included in my policy PCY-902-347170. Does it cover driving other cars, or windscreen chips? really appreciate your help

Sincerely,
Ava Kelly
+353 88 510 7941
avakelly201@example.com",Other,29d6d803,
Car stolen last night – claim help?,"Hello,
Vehicle theft on 15 Apr 2023 12:55 near Letterkenny city centre. CCTV likely at the shop across the road. Registered plate 05-G-95547, policy PCY-173-779885. Please advise urgent actions and any forms. thanks in advance
Dashcam clip uploaded to Drive (link upon request).

Many thanks,
Mia Byrne
+353 83 290 7959
miabyrne620@gmail.com",CarTheft,0153ef3c,
My car is gone – policy assistance,"Hi Atlantic Mutual Support, Came out this moorning and the car was just gone. 07-W-87772. Spare key with me. I called 999 and got a case number. Can you guide me on the theft claim steps uder PCY-103-548377? Also, do I still owe the excess if the car isn’t found? why am I paying for this Photos attachhed. Many thanks, Mia O'Brien P.. I’m at work now, can’t tke calls till after 5pm. Text me if urgent.",CarTheft,3a51bc9f,
Stolen vehicle claim – need next steps,"Hi team, Vehicle theft on 13 Dec 2202 12:55 near Cork city centre. CCTV likely at the shop across the road. Registered plate 22-OY-97851, policy PCY-573-708519. Please advise urgent actions and any forms. kind regards Screesnhot included below. Thanks, Emma Hughes +3353 83 824 8172 emmahughes450@example.com",CarTheft,50be75a5,
Policy renewal questions,"To whom it may concern,
Renewal due on 10. Could you send me the documents in PDF and explain options for monthly vs annual? Policy PCY-882-813450. really appreciate your help

Many thanks,
Ethan Hayes",CarRenewal,7e7f164d,
"Minor crash, no injuries – claim query","To whom it may concern, Small collision on the M50, lane 2. I baked and the van behind clipped my bumper. Gardaí attneded. Claim under PCY-252-157217. Should I go to Northside Garage or wait for an approved repairer lisst? please srot tis No attachments yet—can esnd if needed. Regards, Emily O'Bren",CarCrash,547cf237,
My car is gone – policy assistance,"Good morning,
My car (17-KK-60839) was stolen outside my house at 34 Main St, Sligo around 25 Dec 2024 12:55. I reported it to the Gardaí (ref #606121). Policy PCY-287-219361. What info do you need to open a claim? please let me know
No attachments yet—can send if needed.

Sincerely,
Emma Kennedy
+353 85 726 1472
emmakennedy884@outlook.com",CarTheft,8c285bf8,
Rear‑ended at lights – advice needed,"To whom it may concern, I was rear‑ended at a red lighht in Corrk today (31 Dec 2022 12:55), mild whiplash. Other driver admitted fault. Exchange done. My reg 09-MN6-9164, policy PCY-721-304553. What’s the fastest way to get the car assessed? thanks in advance No attachments yet—can send if needed. Best, Noah Hayes

(Also, sorry for the long email—bit stressed.)",CarCrash,64d7b28e,
Collision today on N7 – what do I do?,"Hi team,
I was rear‑ended at a red light in Sligo today (01 Sep 2023 12:55), mild whiplash. Other driver admitted fault. Exchange done. My reg 20-KK-62833, policy PCY-959-776472. What’s the fastest way to get the car assessed? really appreciate your help
Photos attached.

Thanks,
Ethan Hayes
+353 87 431 4793
ethanhayes791@outlook.com

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarCrash,9532f6fd,
Breakdown this morning – tow arranged?,"Hello, My car cut out at a roundabut in Naas and won’t restart. Haazrd lights on. Do I have roadside assist with policy PCY-945-126375? If yes, can you arrange a tow to Citty Tyres? kind regards Sacns can be provided. Many thanks, Jack Gallagher",CarBreakdown,f6c1f109,
Car stolen last night – claim help?,"Hey there,
Vehicle theft on 05 Mar 2023 12:55 near Sligo city centre. CCTV likely at the shop across the road. Registered plate 13-CW-6273, policy PCY-883-804938. Please advise urgent actions and any forms. kind regards
Dashcam clip uploaded to Drive (link upon request).

Regards,
Niamh Fitzgerald

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.",CarTheft,52336a0e,
Accident report and claim initiation,"Hello,
Accident at low speed leaving a car park. I scraped another car. I’ve photos and their details. Do I need to notify you even if we settle privately? My policy is PCY-763-950945, reg 11-G-2627. happy to provide more info
No attachments yet—can send if needed.

Cheers,
Jack Doyle",CarCrash,24bf5365,
Stolen vehicle claim – need next steps,"Good morning,
Came out this morning and the car was just gone. 06-D-40893. Spare key with me. I called 999 and got a case number. Can you guide me on the theft claim steps under PCY-219-246566? Also, do I still owe the excess if the car isn’t found? really appreciate your help
No attachments yet—can send if needed.

Thanks,
Emily Gallagher
+353 87 730 7686
emilygallagher962@yahoo.com

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.",CarTheft,42ae7cfd,
Stone chip spreading fast – claim,"Good afternoon,
A stone hit my windscreen on the N4 and now there’s a crack across the driver’s side. Can I book directly with ScreenMate or do I need pre‑approval under policy PCY-304-896665? kind regards
Reg 23-LS-98946.
Photos attached.

Best,
Isla O'Connor",CarWindshield,bf965575,
Rear‑ended at lights – advice needed,"Good afternoon,
Accident at low speed leaving a car park. I scraped another car. I’ve photos and their details. Do I need to notify you even if we settle privately? My policy is PCY-718-883968, reg 05-G-16622. please let me know
Dashcam clip uploaded to Drive (link upon request).

Many thanks,
Olivia McCarthy
+353 85 749 2099
oliviamccarthy753@gmail.com",CarCrash,3ae95cbd,
Query about documents,"Hello,
Where do I download my cert of insurance and disc for reg 20-D-10500? I can’t find the link on the portal. thanks in advance

Many thanks,
Niamh Brown
+353 80 594 4291
niamhbrown399@yahoo.com

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.",Other,318a0ec7,
Urgent: Vehicle theft (police report filed),"Hi team,
Came out this morning and the car was just gone. 14-MH-8152. Spare key with me. I called 999 and got a case number. Can you guide me on the theft claim steps under PCY-865-510780? Also, do I still owe the excess if the car isn’t found? thanks in advance
Screenshot included below.

Sincerely,
Ciara Hughes
+353 88 799 3830
ciarahughes782@proton.me

(Also, sorry for the long email—bit stressed.)",CarTheft,c4ea59a7,
Stranded on hard shoulder – breakdown cover,"God aftrnoon, Battery esems dead (no dash lights). I’m at 102 Station Rd, Limerick. Can someone jump‑start or tow me? Reg 13-C-60555, policy PYC-885-133459. Also, is there a cal‑lout limit? honestly not imppressed Scans can be provided. Cheers, Ethan Kelly",CarBreakdown,1d8c9b1c,
Breakdown this morning – tow arranged?,"Good afternoon,
Battery seems dead (no dash lights). I’m at 117 Main St, Sligo. Can someone jump‑start or tow me? Reg 17-MH-81405, policy PCY-397-358053. Also, is there a call‑out limit? please sort this
Scans can be provided.

Regards,
Noah O'Connor
+353 83 402 3901
noahoconnor534@gmail.com

(Also, sorry for the long email—bit stressed.)",CarBreakdown,5aff4aca,
Car won’t start – need roadside assist,"Hey there,
My car cut out at a roundabout in Waterford and won’t restart. Hazard lights on. Do I have roadside assist with policy PCY-272-402311? If yes, can you arrange a tow to Murphy Motors? please let me know
—

Regards,
Aoife Duffy",CarBreakdown,1c486c21,
Renewal due – change car details,"Hello,
Renewal due on 09. Could you send me the documents in PDF and explain options for monthly vs annual? Policy PCY-466-293620. please let me know

Thanks,
Ava O'Neill
+353 85 399 6606
avaoneill978@gmail.com

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.",CarRenewal,bc9f6f75,
Need some help with my cover,"Hi team, Radnom questiion: how lng do I have to report an incident? Policy PCY-722-538546. Thansk. Thanks, Eily Kelly +353 88 494 72669 emilykelly995@yahoo.com P.S. I’m at work now, can’t take clals tlil fater 5pm. Text me if urgent.",Other,9e201dc6,
Urgent: Vehicle theft (police report filed),"To whom it may cnocern, Cmae out this morning and the car was just goe. 18-H-32399. Spre key wiith me. I called 999 and got a case number. Can you guide me on the theft clam steps under PCY-3369-183057? Also, do I stil owe the excses if the car isn’t found? why am I paying for this Daashcam cilp uploaded to Drive (link upon requeest). Thanks, Ilsa Hayes +353 83 428 1317 islahayes156@gmail.com",CarTheft,1a1483a7,
Policy renewal questions,"Hi SafeDrive Support,
Got the renewal email but the premium is up 18%. Any discounts for no claims (5 years) or for installing a dashcam? Policy PCY-754-899600. really appreciate your help

Cheers,
Emily Doyle
+353 88 979 1707
emilydoyle601@yahoo.com",CarRenewal,c73b454d,
Collision today on N7 – what do I do?,"Hello,
Small collision on the M50, lane 2. I braked and the van behind clipped my bumper. Gardaí attended. Claim under PCY-327-738081. Should I go to Northside Garage or wait for an approved repairer list? this is ridiculous
Photos attached.

Regards,
Michael Fitzgerald
+353 82 535 3469
michaelfitzgerald292@yahoo.com

(Also, sorry for the long email—bit stressed.)",CarCrash,0282372e,
Engine died at junction – policy help,"Good afternoon,
Engine overheated, steam from bonnet. I pulled over safely on the hard shoulder. What’s covered under PCY-162-263864 for breakdowns? happy to provide more info
Reg 16-CW-96489.
No attachments.

Regards,
Isla Duffy

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarBreakdown,cef82c31,
Car won’t start – need roadside assist,"To whom it may concern,
My car cut out at a roundabout in Wexford and won’t restart. Hazard lights on. Do I have roadside assist with policy PCY-778-560515? If yes, can you arrange a tow to N7 Auto? thanks in advance
No attachments.

Best,
Lucas Hughes
+353 86 975 7108
lucashughes71@example.com

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.",CarBreakdown,3ef27782,
Renewal price seems high – options?,"Hi Harbour Insurance Support,
Renewal due on 18. Could you send me the documents in PDF and explain options for monthly vs annual? Policy PCY-524-441533. thanks in advance

Sincerely,
Olivia O'Brien

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarRenewal,b3d70f50,
Cracked windscreen – repair or replace?,"Hi QuickCover Support,
Overnight frost made a chip spread—now about 20cm. Is glass repair exempt from the no‑claims penalty on PCY-934-458288? Can I pay just the excess? happy to provide more info
Attaching a PDF of the report.

Cheers,
Ethan Kelly
+353 85 895 2944
ethankelly273@outlook.com",CarWindshield,65feca09,
Cracked windscreen – repair or replace?,"Hi Harbour Insurance Support,
A stone hit my windscreen on the N4 and now there’s a crack across the driver’s side. Can I book directly with ClearView Windscreens or do I need pre‑approval under policy PCY-665-848985? really appreciate your help
Reg 06-MH-62573.
No attachments yet—can send if needed.

Regards,
Niamh Hayes
+353 80 225 7417
niamhhayes259@example.com

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarWindshield,b55c5fe2,
"Minor crash, no injuries – claim query","Good morning,
Small collision on the M50, lane 2. I braked and the van behind clipped my bumper. Gardaí attended. Claim under PCY-188-847841. Should I go to South Quay Repairs or wait for an approved repairer list? why am I paying for this
Dashcam clip uploaded to Drive (link upon request).

Sincerely,
Ciara Kavanagh
+353 89 546 6283
ciarakavanagh824@example.com

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarCrash,54d9e7e2,
Stolen vehicle claim – need next steps,"To whom it may concern,
Vehicle theft on 05 Feb 2023 12:55 near Carlow city centre. CCTV likely at the shop across the road. Registered plate 10-MH-87154, policy PCY-744-293411. Please advise urgent actions and any forms. happy to provide more info
Attaching a PDF of the report.

Regards,
Emily Doyle
+353 88 291 6993
emilydoyle334@outlook.com",CarTheft,7e84eeea,
"Minor crash, no injuries – claim query","Hi team,
Small collision on the M50, lane 2. I braked and the van behind clipped my bumper. Gardaí attended. Claim under PCY-963-512045. Should I go to Northside Garage or wait for an approved repairer list? please let me know
No attachments yet—can send if needed.

Sincerely,
Emily O'Neill
+353 86 219 1217
emilyoneill176@proton.me",CarCrash,b83f074e,
General question about my policy,"Hi SafeDrive Support,
I just need to check what’s included in my policy PCY-472-258441. Does it cover driving other cars, or windscreen chips? kind regards

Thanks,
Michael O'Brien
+353 89 735 8032
michaelobrien98@gmail.com",Other,7ab12848,
Add a new driver for renewal,"Good afternoon,
Renewal due on 10. Could you send me the documents in PDF and explain options for monthly vs annual? Policy PCY-355-457441. happy to provide more info

Best,
Isla Murphy",CarRenewal,33ea91a8,
Add a new driver for renewal,"Hello,
I’m changing cars next month (new reg 10-W-18380). Can I update the details now so the renewal is accurate? Also adding my partner as a named driver. Policy PCY-111-840658. thanks in advance

Cheers,
Michael Doyle
+353 80 196 9917
michaeldoyle103@yahoo.com

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarRenewal,b77470f4,
"Minor crash, no injuries – claim query","Hey there,
Accident at low speed leaving a car park. I scraped another car. I’ve photos and their details. Do I need to notify you even if we settle privately? My policy is PCY-412-774206, reg 21-MN-5643. thanks in advance
Photos attached.

Best,
Niamh Hayes
+353 80 203 8058
niamhhayes504@outlook.com

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarCrash,05beaaa0,
My car is gone – policy assistance,"Hey there, My car (15-LS-5145) was stolen outsdie my hoouse at 116 Park Laen, Kilkenny around 14 Jul 20223 1255. I repored it to the Grdaí (rref #217683). Policy PCY-822-999488. Whaat info do you need to oepn a caim? plase let me know Attaching a PDF of the report. Best, Conr O'Connnor

(Also, sorry for the long email—bit stressed.)",CarTheft,73cb2cea,
Stranded on hard shoulder – breakdown cover,"Hey there,
Battery seems dead (no dash lights). I’m at 164 Station Rd, Wexford. Can someone jump‑start or tow me? Reg 12-MH-3686, policy PCY-243-475090. Also, is there a call‑out limit? I've been on hold forever
Scans can be provided.

Best,
Ethan Fitzgerald
+353 80 644 5620
ethanfitzgerald692@outlook.com

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarBreakdown,3aeb09d5,
Query about documents,"Hi QuickCover Support,
Where do I download my cert of insurance and disc for reg 11-KK-33914? I can’t find the link on the portal. honestly not impressed

Thanks,
Aoife Gallagher
+353 84 959 2467
aoifegallagher351@proton.me

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",Other,b2e5e1b8,
Car won’t start – need roadside assist,"Hello,
Battery seems dead (no dash lights). I’m at 168 River Road, Letterkenny. Can someone jump‑start or tow me? Reg 08-L-71849, policy PCY-264-198067. Also, is there a call‑out limit? happy to provide more info
No attachments.

Cheers,
Liam Brown",CarBreakdown,15a505ed,
Car stolen last night – claim help?,"Hey there,
Vehicle theft on 30 Jan 2024 12:55 near Carlow city centre. CCTV likely at the shop across the road. Registered plate 19-LM-1088, policy PCY-978-265657. Please advise urgent actions and any forms. kind regards
Attaching a PDF of the report.

Cheers,
Emily Murphy

(Also, sorry for the long email—bit stressed.)",CarTheft,d17766b6,
Windscreen damage after storm,"Good morning,
A stone hit my windscreen on the N4 and now there’s a crack across the driver’s side. Can I book directly with ClearView Windscreens or do I need pre‑approval under policy PCY-749-599318? kind regards
Reg 13-WX-45663.
No attachments yet—can send if needed.

Cheers,
Sophia Doyle
+353 81 493 3430
sophiadoyle639@yahoo.com

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.",CarWindshield,339a20b9,
Policy renewal questions,"Good morning,
Got the renewal email but the premium is up 18%. Any discounts for no claims (5 years) or for installing a dashcam? Policy PCY-321-192525. kind regards

Cheers,
Liam Kennedy
+353 84 947 3100
liamkennedy3@outlook.com

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.

(Also, sorry for the long email—bit stressed.)",CarRenewal,1192bcc5,
Accident report and claim initiation,"Hello,
Small collision on the M50, lane 2. I braked and the van behind clipped my bumper. Gardaí attended. Claim under PCY-119-108952. Should I go to Northside Garage or wait for an approved repairer list? happy to provide more info
Attaching a PDF of the report.

Best,
Ethan Murphy
+353 88 716 1646
ethanmurphy799@outlook.com",CarCrash,ff380c11,
Stone chip spreading fast – claim,"To whom it may concern,
Windscreen wiper left a deep scratch after some grit got stuck. Looking to replace ASAP. What’s the process and preferred suppliers? Policy PCY-966-277149. really appreciate your help
Screenshot included below.

Best,
Emily Ryan
+353 88 970 9408
emilyryan652@gmail.com",CarWindshield,5641ca74,
Add a new driver for renewal,"Good morning,
I’m changing cars next month (new reg 15-G-77996). Can I update the details now so the renewal is accurate? Also adding my partner as a named driver. Policy PCY-959-626841. honestly not impressed

Regards,
Ethan Doyle
+353 82 123 8864
ethandoyle432@proton.me",CarRenewal,0944403f,
Urgent: Vehicle theft (police report filed),"Good morning,
Came out this morning and the car was just gone. 24-LS-27326. Spare key with me. I called 999 and got a case number. Can you guide me on the theft claim steps under PCY-407-436241? Also, do I still owe the excess if the car isn’t found? honestly not impressed
Screenshot included below.

Regards,
Sophia Smith

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarTheft,853a83e2,
Accident report and claim initiation,"Good morning,
I was rear‑ended at a red light in Bray today (14 Mar 2025 12:55), no injuries. Other driver admitted fault. Exchange done. My reg 07-MN-18933, policy PCY-605-375834. What’s the fastest way to get the car assessed? thanks in advance
No attachments yet—can send if needed.

Many thanks,
Noah Brown
+353 88 425 4119
noahbrown862@example.com

(Also, sorry for the long email—bit stressed.)",CarCrash,ad18684d,
Query about documents,"Hi team,
Where do I download my cert of insurance and disc for reg 17-LS-19377? I can’t find the link on the portal. I've been on hold forever

Regards,
Noah Kavanagh

P.S. I’m at work now, can’t take calls till after 5pm. Text me if urgent.",Other,220d4857,
Glass crack across driver side – urgent,"Good morning,
A stone hit my windscreen on the N4 and now there’s a crack across the driver’s side. Can I book directly with ClearView Windscreens or do I need pre‑approval under policy PCY-506-196089? please let me know
Reg 06-WX-61177.
Photos attached.

Many thanks,
James O'Brien
+353 86 202 6803
jamesobrien661@example.com

P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarWindshield,955e12b6,
Query about documents,"Hi team, Where do I download my cet of insurrance and disc for reg 19-LS-55703? I can’t find the ilnk on the portal. really appreciate your help Thanks, Emily Fitzgerald +353 84 529 8503 emilyfitzgerald813@example.com",Other,0e45cec3,
Rear‑ended at lights – advice needed,"Hey there,
Accident at low speed leaving a car park. I scraped another car. I’ve photos and their details. Do I need to notify you even if we settle privately? My policy is PCY-331-593563, reg 17-SO-40227. happy to provide more info
Dashcam clip uploaded to Drive (link upon request).

Best,
Aoife Byrne
+353 84 141 3190
aoifebyrne405@proton.me",CarCrash,905d6e7f,
Stone chip spreading fast – claim,"Hi team, Windsccreen wiper left a deep scratch after some grt got stuck. Looking to relace ASAP. What’s the process and preferred suppliers? Policy PCY-183-452090. really appreciate your ehlp No attachments ye—tcan send if needed. Thanks, Lucas Fitzgerald P.S. I’m at work now, can’t take calls till after 5pm. Email is best.",CarWindshield,dbaddf0c,
Windscreen damage after storm,"To whom it may concern,
Overnight frost made a chip spread—now about 20cm. Is glass repair exempt from the no‑claims penalty on PCY-310-151952? Can I pay just the excess? this is ridiculous
Attaching a PDF of the report.

Best,
Isla Doyle",CarWindshield,ac8bc214,
Policy renewal questions,"Hi SafeDrive Support,
Renewal due on 07. Could you send me the documents in PDF and explain options for monthly vs annual? Policy PCY-177-415303. happy to provide more info

Cheers,
Noah Smith",CarRenewal,9db34725,
